,name,artists,year,duration_s,tempo,acousticness,energy,valence,key,popularity,explicit
51909,Numb,Linkin Park,2003,185.587,110.018,0.0046,0.863,0.243,9,81,No
51937,Faint,Linkin Park,2003,162.6,135.095,0.111,0.978,0.594,4,69,No
51947,Somewhere I Belong,Linkin Park,2003,213.933,162.065,0.00038,0.951,0.442,1,63,No
51952,Numb,Linkin Park,2003,185.587,110.018,0.0046,0.863,0.243,9,60,No
51991,Numb / Encore,Linkin Park,2004,205.733,107.045,0.0603,0.793,0.751,2,75,Yes
52015,Numb / Encore,Linkin Park,2004,205.28,107.005,0.0601,0.803,0.799,2,71,Yes
52155,What I've Done,Linkin Park,2007,205.613,120.119,0.0141,0.93,0.287,5,76,No
52168,Bleed It Out,Linkin Park,2007,166.373,140.127,0.114,0.967,0.596,1,72,Yes
59382,With You,Linkin Park,2000,203.267,196.921,0.0037,0.978,0.359,6,62,No
59385,My December,Linkin Park,2000,260.56,100.021,0.375,0.585,0.721,0,62,No
59391,By Myself,Linkin Park,2000,189.8,103.026,0.0171,0.935,0.339,6,61,No
59401,Pushing Me Away,Linkin Park,2000,191.44,103.103,0.000391,0.913,0.279,6,60,No
59403,Forgotten,Linkin Park,2000,194.427,108.193,0.0132,0.947,0.498,8,60,No
59517,Lying from You,Linkin Park,2003,175.373,160.102,0.00777,0.951,0.723,3,58,No
59518,Breaking the Habit,Linkin Park,2003,196.907,100.021,0.108,0.849,0.581,4,58,No
59521,Breaking the Habit,Linkin Park,2003,196.907,100.021,0.108,0.849,0.581,4,64,No
59531,Faint,Linkin Park,2003,162.6,135.095,0.111,0.978,0.594,4,56,No
59538,Somewhere I Belong,Linkin Park,2003,213.933,162.065,0.00038,0.951,0.442,1,56,No
59546,Don't Stay,Linkin Park,2003,187.933,90.058,0.00153,0.995,0.679,1,55,No
59719,Leave Out All The Rest,Linkin Park,2007,209.307,80.012,0.209,0.629,0.237,0,68,No
59726,Given Up,Linkin Park,2007,189.293,100.088,0.00117,0.885,0.938,7,67,Yes
59735,Shadow of the Day,Linkin Park,2007,290.36,110.007,0.00479,0.393,0.0641,11,66,No
59840,New Divide,Linkin Park,2009,268.613,117.971,0.000235,0.808,0.38,5,69,No
60001,BURN IT DOWN,Linkin Park,2012,230.253,110.006,0.0143,0.972,0.585,9,73,No
66442,From the Inside,Linkin Park,2003,173.933,95.028,0.042,0.965,0.453,1,57,No
66459,Hit the Floor,Linkin Park,2003,164.213,150.007,0.0629,0.959,0.878,9,52,No
66622,No More Sorrow,Linkin Park,2007,221.72,132.594,0.00316,0.934,0.409,3,62,No
66773,Waiting for the End,Linkin Park,2010,231.68,170.005,0.0415,0.961,0.323,4,57,No
66873,CASTLE OF GLASS,Linkin Park,2012,205.4,108.0,0.0686,0.911,0.685,1,71,No
72918,Cure for the Itch,Linkin Park,2000,157.2,99.99,0.163,0.677,0.851,8,56,No
72954,High Voltage,Linkin Park,2000,225.107,93.916,0.105,0.967,0.287,7,55,No
73068,Figure.09,Linkin Park,2003,197.507,98.068,0.00919,0.951,0.537,9,52,No
73085,Nobody's Listening,Linkin Park,2003,178.867,199.972,0.105,0.831,0.451,2,51,No
73093,From the Inside,Linkin Park,2003,173.933,95.028,0.042,0.965,0.453,1,50,No
73100,Easier to Run,Linkin Park,2003,204.173,105.017,0.0624,0.861,0.279,3,50,No
73140,Points of Authority / 99 Problems / One Step Closer,Linkin Park,2004,295.827,95.031,0.00272,0.951,0.51,1,58,Yes
79637,Crawling,Linkin Park,2000,208.96,105.076,0.0466,0.702,0.299,4,53,No
79716,Krwlng (Mike Shinoda Reanimation) [feat. Aaron Lewis],Linkin Park,2002,340.253,105.217,0.088,0.528,0.0479,4,48,No
79727,Pts.Of.Athrty - Jay Gordon Reanimation,Linkin Park,2002,225.52,95.16,0.00185,0.976,0.267,8,47,No
79807,Dirt off Your Shoulder / Lying From You,Linkin Park,2004,244.693,160.013,0.0104,0.905,0.799,11,56,Yes
79831,Big Pimpin' / Papercut,Linkin Park,2004,156.32,138.312,0.196,0.938,0.965,4,54,Yes
80086,Iridescent,Linkin Park,2010,296.56,120.066,0.198,0.727,0.216,0,54,No
80092,The Catalyst,Linkin Park,2010,339.853,135.009,0.0372,0.925,0.178,0,54,No
80188,LOST IN THE ECHO,Linkin Park,2012,205.12,120.037,0.0154,0.98,0.478,9,65,No
86335,"Papercut - Live at Yalding House, London, England, 1/12/2001 - BBC One",Linkin Park,2000,189.973,150.051,0.000291,0.966,0.742,1,52,No
86406,1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,2002,346.04,96.149,0.00272,0.927,0.232,1,45,No
86525,Jigga What / Faint,Linkin Park,2004,211.173,133.63,0.102,0.96,0.566,1,54,Yes
86633,Hands Held High,Linkin Park,2007,233.133,104.0,0.324,0.603,0.132,9,54,Yes
92517,Session,Linkin Park,2003,143.8,98.039,0.0336,0.936,0.235,10,46,No
92577,Izzo / In the End,Linkin Park,2004,164.867,92.332,0.00195,0.91,0.494,7,54,Yes
92727,In Pieces,Linkin Park,2007,218.013,160.11,0.009,0.886,0.79,8,53,No
92781,New Divide,Linkin Park,2009,268.613,117.971,0.000235,0.808,0.38,5,48,No
92927,ROADS UNTRAVELED,Linkin Park,2012,229.933,100.001,0.263,0.788,0.581,8,64,No
93171,One More Light,Linkin Park,2017,255.067,83.966,0.904,0.2,0.17,8,73,No
98369,One Step Closer,Linkin Park,2000,157.333,95.136,0.0014,0.969,0.538,9,53,No
98445,Enth E Nd (Kutmasta Kurt Reanimation) [feat. Motion Man],Linkin Park,2002,243.613,104.992,0.00498,0.796,0.887,6,43,No
98626,Valentine's Day,Linkin Park,2007,196.813,108.039,0.0252,0.66,0.412,5,53,No
98760,The Messenger,Linkin Park,2010,181.893,62.663,0.72,0.209,0.362,7,50,No
98888,A LIGHT THAT NEVER COMES,Linkin Park,2013,229.439,115.0,0.00225,0.871,0.539,0,62,No
99014,Heavy (feat. Kiiara),Linkin Park,2017,169.801,149.982,0.0484,0.671,0.438,9,69,Yes
104474,The Little Things Give You Away,Linkin Park,2007,383.507,140.051,0.036,0.479,0.113,7,51,No
104656,IN MY REMAINS,Linkin Park,2012,200.693,100.967,0.00401,0.907,0.451,9,62,No
104701,POWERLESS,Linkin Park,2012,224.467,140.065,0.0621,0.88,0.337,5,60,No
109854,Papercut,Linkin Park,2000,184.867,150.184,0.00022,0.939,0.661,9,44,No
109905,Frgt/10 (Alchemist Reanimation) [feat. Chali 2na],Linkin Park,2002,212.293,95.091,0.0336,0.736,0.645,7,41,No
109958,Lying from You,Linkin Park,2003,175.373,160.102,0.00777,0.951,0.723,3,52,No
110113,In Between,Linkin Park,2007,196.747,193.948,0.335,0.51,0.275,10,50,No
3125,The Fan,Little Feat,1974,269.467,146.75,0.0387,0.509,0.811,0,26,No
3182,Down Below the Borderline,Little Feat,1975,225.4,91.04,0.415,0.36,0.925,0,28,No
3380,"All That You Dream - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1978,269.133,112.826,0.0198,0.884,0.534,9,27,No
3390,"Oh Atlanta - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1978,260.347,162.872,0.00326,0.833,0.705,5,27,No
3878,"Mercenary Territory - Live at the Rainbow Theatre, London, UK, 8/2/1977",Little Feat,1988,276.84,102.412,0.0803,0.694,0.502,7,31,No
3895,"Rocket In My Pocket - Live at the Rainbow Theatre, London, UK, 8/2/1977",Little Feat,1988,237.907,167.052,0.0793,0.772,0.736,2,30,No
3896,"Willin' - Live at Lisner Auditorium, Washington, DC, 8/8/1977",Little Feat,1988,282.067,120.563,0.0573,0.413,0.323,7,30,No
3929,Rad Gumbo,Little Feat,1989,210.8,176.613,0.15,0.941,0.878,7,35,No
8078,A Apolitical Blues,Little Feat,1972,208.133,176.911,0.733,0.435,0.66,2,27,No
8401,Time Loves a Hero,Little Feat,1977,228.027,134.526,0.273,0.607,0.965,9,28,No
8410,Missin' You,Little Feat,1977,141.333,82.479,0.751,0.142,0.424,0,28,No
8496,"Time Loves a Hero - Live at the Rainbow Theatre, London, UK, 8/4/1977",Little Feat,1978,259.627,136.716,0.0216,0.725,0.961,6,26,No
8505,"Don't Bogart That Joint - Live at Lisner Auditorium, Washington, DC, 8/8/1977",Little Feat,1978,61.8,71.637,0.09,0.382,0.469,7,26,No
8555,Perfect Imperfection,Little Feat,1979,229.0,76.618,0.698,0.335,0.582,10,27,No
9019,"All That You Dream - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1988,269.133,112.826,0.0198,0.884,0.534,9,29,No
9022,"Join the Band - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1988,114.293,86.292,0.192,0.357,0.191,2,30,No
12910,Hamburger Midnight,Little Feat,1971,149.6,79.236,0.192,0.736,0.811,2,26,No
12989,Tripe Face Boogie,Little Feat,1972,195.507,148.677,0.0564,0.809,0.65,9,26,No
13047,Walkin All Night,Little Feat,1973,216.24,115.545,0.448,0.521,0.811,0,28,No
13074,Juliette,Little Feat,1973,210.64,121.965,0.942,0.318,0.507,5,28,No
13087,Kiss It Off,Little Feat,1973,178.333,129.389,0.761,0.158,0.328,0,28,No
13092,Lafayette Railroad,Little Feat,1973,216.227,119.092,0.566,0.14,0.467,2,27,No
13357,Hi Roller,Little Feat,1977,217.2,120.174,0.12,0.686,0.788,2,27,No
13460,Kokomo,Little Feat,1979,180.773,91.361,0.402,0.468,0.865,9,26,No
13587,China White,Little Feat,1981,194.467,182.386,0.75,0.291,0.457,9,26,No
13922,"Oh Atlanta - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1988,260.347,162.872,0.00326,0.833,0.705,5,29,No
13938,"Tripe Face Boogie - Live at the Rainbow Theatre, London, UK, 8/3/1977",Little Feat,1988,429.467,169.398,0.0205,0.849,0.509,9,29,No
17883,Teenage Nervous Breakdown,Little Feat,1972,133.76,101.963,0.179,0.736,0.583,2,25,No
18220,"Old Folks' Boogie - Live at the Rainbow Theatre, London, UK, 8/4/1977",Little Feat,1978,268.667,87.569,0.3,0.711,0.887,0,25,No
18266,"Mercenary Territory - Live at the Rainbow Theatre, London, UK, 8/2/1977",Little Feat,1978,276.84,102.412,0.0803,0.694,0.502,7,24,No
18753,One Clear Moment,Little Feat,1988,290.0,92.023,0.217,0.629,0.88,8,28,No
23026,"Join the Band - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1978,114.293,86.292,0.192,0.357,0.191,2,24,No
23038,"Day or Night - Live at the Rainbow Theatre, London, UK, 8/4/1977",Little Feat,1978,330.72,139.092,0.0216,0.798,0.835,4,23,No
23106,Six Feet of Snow,Little Feat,1979,152.56,197.548,0.441,0.606,0.838,7,24,No
27169,Cat Fever,Little Feat,1972,275.467,69.279,0.0908,0.484,0.41,0,24,No
27173,Texas Rose Cafe,Little Feat,1972,222.44,120.385,0.326,0.488,0.638,9,24,No
27543,"Rocket In My Pocket - Live at the Rainbow Theatre, London, UK, 8/2/1977",Little Feat,1978,237.907,167.052,0.0793,0.772,0.736,2,22,No
27547,"Tripe Face Boogie - Live at the Rainbow Theatre, London, UK, 8/3/1977",Little Feat,1978,429.467,169.398,0.0205,0.849,0.509,9,23,No
31526,Willin',Little Feat,1971,143.351,83.827,0.906,0.245,0.445,7,23,No
31921,"Feats Don't Fail Me Now - Live at Lisner Auditorium, Washington, DC, 8/9/1977",Little Feat,1978,335.667,120.753,0.00247,0.89,0.549,7,21,No
35785,Mercenary Territory,Little Feat,1975,266.267,91.673,0.258,0.576,0.686,11,23,No
35922,"Sailin' Shoes - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1978,383.933,61.757,0.026,0.424,0.496,2,21,No
35949,"A Apolitical Blues - Live at the Rainbow Theatre, London, UK, 8/3/1977",Little Feat,1978,231.627,101.119,0.0767,0.591,0.597,2,21,No
39579,Snakes on Everything,Little Feat,1971,186.907,161.769,0.283,0.596,0.649,5,22,No
39915,Rocket in My Pocket,Little Feat,1977,203.173,161.834,0.169,0.597,0.963,7,22,No
40463,"Day or Night - Live at the Rainbow Theatre, London, UK, 8/4/1977",Little Feat,1988,330.72,139.092,0.0216,0.798,0.835,4,24,No
44328,"Feats Don't Fail Me Now - Live at Lisner Auditorium, Washington, DC, 8/9/1977",Little Feat,1988,335.667,120.753,0.00247,0.89,0.549,7,24,No
44341,"A Apolitical Blues - Live at the Rainbow Theatre, London, UK, 8/3/1977",Little Feat,1988,231.627,101.119,0.0767,0.591,0.597,2,24,No
44345,"Sailin' Shoes - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1988,383.933,61.757,0.026,0.424,0.496,2,23,No
49894,Willin',Little Feat,1972,174.573,144.046,0.175,0.662,0.742,7,60,No
49992,Dixie Chicken,Little Feat,1973,239.107,149.702,0.7,0.669,0.92,9,58,No
50078,Spanish Moon,Little Feat,1974,186.267,89.846,0.421,0.415,0.738,11,52,No
50103,Skin It Back,Little Feat,1974,252.133,93.294,0.465,0.432,0.834,1,49,No
57726,Fat Man in the Bathtub,Little Feat,1973,271.693,87.696,0.18,0.655,0.893,7,51,No
57738,Roll Um Easy,Little Feat,1973,151.88,115.317,0.827,0.0845,0.397,4,50,No
57763,Two Trains,Little Feat,1973,187.267,95.364,0.518,0.755,0.763,5,48,No
57808,"Oh, Atlanta",Little Feat,1974,209.373,152.171,0.494,0.671,0.808,0,46,No
57871,Long Distance Love,Little Feat,1975,163.307,113.618,0.64,0.289,0.355,7,53,No
64654,Fool Yourself,Little Feat,1973,196.867,77.383,0.183,0.545,0.705,2,46,No
64739,Rock and Roll Doctor,Little Feat,1974,178.667,75.75,0.571,0.532,0.846,9,42,No
64767,Feats Don't Fail Me Now,Little Feat,1974,147.667,97.65,0.495,0.627,0.896,7,39,No
64809,All That You Dream (with Linda Ronstadt),Little Feat,1975,213.467,111.717,0.463,0.609,0.589,9,43,No
71343,Easy to Slip,Little Feat,1972,201.467,140.891,0.00835,0.717,0.443,7,40,No
71395,On Your Way Down,Little Feat,1973,334.6,122.104,0.347,0.409,0.732,5,43,No
78112,Sailin' Shoes,Little Feat,1972,171.973,108.991,0.862,0.386,0.424,0,36,No
78559,Down on the Farm,Little Feat,1979,261.0,97.13,0.244,0.395,0.787,7,37,No
79043,Let It Roll,Little Feat,1988,270.36,203.431,0.0556,0.826,0.833,9,40,No
84889,"Medley: Cold, Cold, Cold / Tripe Face Boogie",Little Feat,1974,599.267,157.619,0.483,0.556,0.668,9,32,No
85156,"Spanish Moon - Live at Lisner Auditorium, Washington, DC, 8/8/1977",Little Feat,1978,338.267,170.853,0.0102,0.819,0.771,8,35,No
90860,Trouble,Little Feat,1972,137.76,124.557,0.263,0.509,0.476,7,33,No
91056,Romance Dance,Little Feat,1975,230.04,136.528,0.402,0.508,0.722,7,34,No
96818,"Cold, Cold, Cold",Little Feat,1972,240.707,166.223,0.177,0.657,0.708,9,32,No
97215,"Fat Man In The Bathtub - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1978,293.907,85.136,0.0114,0.882,0.783,7,31,No
97818,"Fat Man In The Bathtub - Live at Lisner Auditorium, Washington, DC, 8/10/1977",Little Feat,1988,293.907,85.136,0.0114,0.882,0.783,7,34,No
97827,Hate to Lose Your Lovin',Little Feat,1988,262.667,174.115,0.176,0.82,0.962,7,34,No
97840,"Spanish Moon - Live at Lisner Auditorium, Washington, DC, 8/8/1977",Little Feat,1988,338.267,170.853,0.0102,0.819,0.771,8,33,No
102614,Got No Shadow,Little Feat,1972,308.6,146.831,0.0961,0.612,0.761,5,31,No
102781,Down the Road,Little Feat,1974,225.893,171.808,0.467,0.482,0.727,0,28,No
102923,Fat Man In A Bathtub - Live,Little Feat,1976,340.474,162.863,0.408,0.936,0.91,0,30,No
102986,New Delhi Freight Train,Little Feat,1977,224.027,158.898,0.275,0.37,0.797,9,31,No
103014,Red Streamliner,Little Feat,1977,287.307,157.568,0.307,0.547,0.895,5,32,No
103063,"Dixie Chicken - Live at the Rainbow Theatre, London, UK, 8/3/1977",Little Feat,1978,533.667,146.566,0.225,0.674,0.724,9,29,No
103624,"Dixie Chicken - Live at the Rainbow Theatre, London, UK, 8/3/1977",Little Feat,1988,533.667,146.566,0.225,0.674,0.724,9,33,No
103667,"Old Folks' Boogie - Live at the Rainbow Theatre, London, UK, 8/4/1977",Little Feat,1988,268.667,87.569,0.3,0.711,0.887,0,32,No
108241,Truck Stop Girl,Little Feat,1971,150.867,81.946,0.756,0.454,0.617,9,29,No
108512,Day or Night,Little Feat,1975,383.533,139.244,0.0281,0.636,0.818,9,31,No
108565,One Love Stand,Little Feat,1975,265.56,128.78,0.42,0.233,0.405,9,29,No
108750,"Willin' - Live at Lisner Auditorium, Washington, DC, 8/8/1977",Little Feat,1978,282.067,120.563,0.0573,0.413,0.323,7,29,No
109300,"Time Loves a Hero - Live at the Rainbow Theatre, London, UK, 8/4/1977",Little Feat,1988,259.627,136.716,0.0216,0.725,0.961,6,32,No
109326,"Don't Bogart That Joint - Live at Lisner Auditorium, Washington, DC, 8/8/1977",Little Feat,1988,61.8,71.637,0.09,0.382,0.469,7,32,No
109446,Bible Belt (feat. Little Feat),Little Feat,1991,169.44,178.672,0.455,0.963,0.907,9,36,No
2243,My Desire,Little Richard,1961,181.226,95.003,0.957,0.148,0.234,8,14,No
2248,He's Not Just A Soldier,Little Richard,1961,158.586,88.644,0.848,0.27,0.517,7,14,No
2257,It Takes Everything To Serve The Lord,Little Richard,1961,178.84,125.011,0.955,0.145,0.296,9,14,No
2449,Money Honey,Little Richard,1964,140.733,85.532,0.566,0.955,0.968,5,20,No
2456,Hound Dog,Little Richard,1964,138.6,91.136,0.603,0.978,0.949,0,20,No
2460,Going Home Tomorrow,Little Richard,1964,189.533,104.759,0.483,0.745,0.71,0,19,No
2612,Land Of A Thousand Dances,Little Richard,1966,129.267,97.947,0.161,0.805,0.93,10,18,No
7329,He's My Star,Little Richard,1961,208.746,69.407,0.958,0.158,0.151,5,13,No
7554,Lawdy Miss Claudie,Little Richard,1964,139.267,95.665,0.143,0.962,0.927,0,19,No
7562,Only You,Little Richard,1964,146.733,133.054,0.387,0.811,0.728,0,19,No
7566,Short Fat Fanny,Little Richard,1964,132.533,85.536,0.573,0.983,0.933,11,19,No
7581,Cherry Red,Little Richard,1964,155.227,106.466,0.265,0.763,0.612,3,18,No
7710,Money (That's What I Want),Little Richard,1966,120.533,84.173,0.257,0.877,0.801,0,18,No
7965,"The ""Rill"" Thing",Little Richard,1970,626.36,78.489,0.22,0.36,0.888,0,29,No
9821,Lucille,Little Richard,2008,141.853,144.683,0.28,0.836,0.952,6,44,No
12455,Groovy Little Suzy,Little Richard,1964,139.64,86.13,0.0766,0.977,0.942,6,19,No
12459,Blueberry Hill,Little Richard,1964,110.307,82.231,0.359,0.908,0.946,5,19,No
12491,It Ain't What You Do,Little Richard,1964,144.267,125.932,0.0143,0.682,0.769,7,18,No
17467,The Commandments Of Love,Little Richard,1966,146.227,105.391,0.578,0.452,0.587,10,16,No
17493,Never Gonna Let You Go,Little Richard,1966,160.067,98.651,0.409,0.503,0.679,0,16,No
18749,Two Timin' Woman,Little Richard,1988,151.027,122.239,0.109,0.895,0.815,7,34,No
19458,The Girl Can’t Help It,Little Richard,2006,149.44,175.142,0.267,0.704,0.883,0,47,No
22157,Memories Are Made Of This,Little Richard,1964,134.733,156.543,0.287,0.884,0.718,5,16,No
22302,A Little Bit of Something (Beats a Whole Lot of Nothing),Little Richard,1966,188.267,131.344,0.486,0.737,0.966,5,15,No
22498,"Greenwood, Mississippi",Little Richard,1970,212.52,127.357,0.125,0.611,0.951,7,27,No
26823,Poor Dog (Who Can't Wag His Own Tail),Little Richard,1966,184.427,143.909,0.44,0.626,0.918,10,15,No
31163,Don't Deceive Me (Please Don't Go),Little Richard,1966,277.733,158.811,0.289,0.283,0.433,0,15,No
31200,Hound Dog,Little Richard,1966,176.867,153.344,0.605,0.829,0.969,0,14,No
31216,I Need Love,Little Richard,1966,158.227,163.659,0.439,0.841,0.826,8,14,No
31454,Two-Time Loser,Little Richard,1970,199.613,130.379,0.438,0.439,0.962,2,24,No
35218,Function at the Junction,Little Richard,1966,153.493,121.633,0.332,0.795,0.968,3,14,No
35436,Dew Drop Inn,Little Richard,1970,161.413,81.768,0.123,0.655,0.976,0,24,No
39548,Somebody Saw You,Little Richard,1970,219.627,132.49,0.272,0.468,0.925,2,23,No
43197,Rocking Chair,Little Richard,1966,199.533,132.789,0.672,0.786,0.964,0,13,No
43294,Lucille - Live,Little Richard,1967,122.8,162.726,0.363,0.728,0.869,5,19,No
43431,Lovesick Blues,Little Richard,1970,273.693,109.867,0.676,0.481,0.967,10,24,No
43471,Spreadin' Natta What's the Matter,Little Richard,1970,272.987,115.95,0.596,0.579,0.97,10,23,No
43529,Midnight Special,Little Richard,1971,239.533,148.72,0.553,0.82,0.627,0,26,No
48579,Tutti Frutti,Little Richard,1957,144.227,184.835,0.793,0.658,0.937,5,64,No
48580,Long Tall Sally (The Thing),Little Richard,1957,127.427,184.694,0.755,0.608,0.888,5,62,No
48597,Rip It Up,Little Richard,1957,141.4,95.922,0.672,0.636,0.967,5,53,No
48613,Ready Teddy,Little Richard,1957,126.68,205.973,0.673,0.678,0.971,5,47,No
48615,Slippin’ And Slidin’ (Peepin’ And Hidin’),Little Richard,1957,161.787,175.834,0.707,0.778,0.964,0,47,No
48648,"True, Fine Mama",Little Richard,1957,160.813,77.235,0.686,0.652,0.939,7,43,No
56418,"Jenny, Jenny",Little Richard,1957,121.947,88.709,0.664,0.694,0.839,5,38,No
56428,Can't Believe You Wanna Leave,Little Richard,1957,145.267,83.133,0.691,0.517,0.963,7,38,No
56451,Miss Ann,Little Richard,1957,134.867,110.744,0.676,0.528,0.783,7,35,No
56453,She's Got It,Little Richard,1957,146.04,112.28,0.691,0.61,0.962,5,36,No
56469,Baby,Little Richard,1957,123.507,122.624,0.659,0.715,0.886,3,34,No
56481,Oh Why?,Little Richard,1957,126.92,116.613,0.748,0.42,0.869,5,34,No
57228,Get Down with It,Little Richard,1966,194.64,141.78,0.569,0.806,0.971,5,40,No
57259,Hurry Sundown,Little Richard,1966,168.693,81.112,0.375,0.362,0.29,8,37,No
63404,Tutti Frutti - Take 2,Little Richard,1957,92.147,188.583,0.396,0.521,0.968,0,31,No
63454,True Fine Mama - Incomplete Take,Little Richard,1957,71.4,74.484,0.711,0.591,0.895,7,29,No
63950,Crying In the Chapel,Little Richard,1963,144.652,91.129,0.845,0.362,0.351,8,38,No
63952,Travelin' Shoes,Little Richard,1963,168.787,142.322,0.227,0.877,0.84,3,38,No
63964,It Is No Secret,Little Richard,1963,138.995,91.774,0.596,0.433,0.437,8,36,No
63981,I Don't Know What You Got,Little Richard,1964,286.133,84.775,0.436,0.534,0.372,3,40,No
70052,Can’t Believe You Wanna Leave - Take 6,Little Richard,1957,146.067,125.039,0.36,0.592,0.97,0,29,No
70069,Ready Teddy - Take 1,Little Richard,1957,93.28,200.226,0.351,0.517,0.974,5,28,No
70078,Can’t Believe You Wanna Leave - Take 8,Little Richard,1957,143.773,127.481,0.331,0.506,0.971,0,28,No
70109,Baby - Demo,Little Richard,1957,258.8,96.961,0.962,0.463,0.696,0,27,No
70119,Ready Teddy - Takes 2 & 3,Little Richard,1957,129.96,104.614,0.242,0.497,0.895,0,27,No
70129,Long Tall Sally - Take 1,Little Richard,1957,121.587,147.225,0.776,0.447,0.961,0,26,No
70652,Hole In the Wall,Little Richard,1963,147.942,108.851,0.627,0.413,0.623,7,35,No
70712,Goodnight Irene,Little Richard,1964,159.2,173.437,0.472,0.797,0.693,8,35,No
71202,Freedom Blues,Little Richard,1970,180.96,179.025,0.467,0.399,0.964,10,43,No
76908,Slippin’ And Slidin’ - Demo,Little Richard,1957,107.56,146.31,0.862,0.271,0.937,0,26,No
76916,Baby - Take 1,Little Richard,1957,143.053,127.72,0.706,0.614,0.962,7,26,No
76922,Slippin’ And Slidin’ - Piano & Drums Demo,Little Richard,1957,118.08,146.683,0.4,0.897,0.962,0,25,No
76951,Long Tall Sally - Take 6,Little Richard,1957,127.667,162.215,0.85,0.604,0.965,0,25,No
76994,Miss Ann - Demo,Little Richard,1957,103.787,118.143,0.693,0.358,0.878,7,24,No
76998,Miss Ann - Take 1,Little Richard,1957,149.453,99.812,0.758,0.562,0.893,7,24,No
77003,Rip It Up - Take 1,Little Richard,1957,75.6,90.585,0.309,0.397,0.6,0,24,No
77014,Miss Ann - Take 6,Little Richard,1957,171.373,136.004,0.576,0.812,0.753,0,24,No
77696,I Don't Want to Discuss It,Little Richard,1966,144.8,143.816,0.603,0.742,0.886,2,27,No
77966,I Saw Her Standing There,Little Richard,1970,207.133,132.885,0.513,0.522,0.974,10,41,No
78096,Money Is (feat. Little Richard),Little Richard,1972,268.493,122.494,0.658,0.737,0.693,10,43,No
83514,Rip It Up - Take 3,Little Richard,1957,140.36,184.159,0.455,0.588,0.893,5,23,No
83522,She’s Got It - Alternate Version,Little Richard,1957,148.187,111.575,0.764,0.568,0.898,10,24,No
83529,Oh Why? - Takes 3 & 4,Little Richard,1957,143.173,116.543,0.547,0.339,0.808,0,23,No
83542,Rip It Up - Take 4,Little Richard,1957,108.427,93.906,0.126,0.595,0.692,10,23,No
83543,Rip It Up - Take 6,Little Richard,1957,190.827,94.599,0.316,0.638,0.897,10,23,No
83552,Oh Why? - Take 9,Little Richard,1957,134.907,118.323,0.645,0.447,0.811,0,23,No
86647,Good Golly Miss Molly,Little Richard,2008,127.387,166.165,0.481,0.873,0.967,7,50,No
90053,It's Real,Little Richard,1961,199.613,97.611,0.971,0.209,0.429,3,19,No
90088,Joy Joy Joy,Little Richard,1961,143.28,128.983,0.818,0.607,0.925,5,19,No
90779,Green Power,Little Richard,1971,239.187,157.103,0.235,0.754,0.688,0,38,No
96000,(There Will Be) Peace In The Valley (For Me),Little Richard,1961,178.813,107.42,0.975,0.12,0.224,5,18,No
101821,Do You Care,Little Richard,1961,173.68,86.574,0.982,0.16,0.246,5,16,No
101833,Do Lord Remember Me,Little Richard,1961,158.373,97.552,0.943,0.42,0.562,6,16,No
101882,In Times Like These,Little Richard,1961,202.453,129.602,0.962,0.167,0.386,8,16,No
102044,A Whole Lotta Shakin' Goin' On,Little Richard,1964,152.093,94.688,0.549,0.953,0.818,0,25,No
103557,Great Gosh A'Mighty,Little Richard,1986,289.646,165.675,0.0575,0.868,0.694,0,38,No
107541,Ride On King Jesus,Little Richard,1961,180.413,69.004,0.921,0.516,0.566,10,16,No
107564,The Captain Calls For You,Little Richard,1961,145.72,117.851,0.886,0.558,0.633,3,15,No
108246,In the Name,Little Richard,1971,190.627,155.589,0.427,0.548,0.972,7,35,No
108347,Nuki Suki,Little Richard,1972,332.2,107.643,0.322,0.837,0.862,2,35,No
4191,Oh Mary,Los Acosta,1995,187.773,104.985,0.15,0.604,0.735,4,42,No
4229,Enojados,Los Acosta,1996,149.173,102.034,0.198,0.538,0.821,4,42,No
4404,Tan Bella Y Tramposa,Los Acosta,2001,222.8,185.028,0.0473,0.66,0.764,7,46,No
9540,Tiene Apenas 16,Los Acosta,2001,231.587,82.09,0.253,0.661,0.679,2,45,No
14460,Una chica está llorando,Los Acosta,2001,188.175,101.545,0.102,0.822,0.745,2,40,No
19272,No Tuve Amor,Los Acosta,2001,183.12,102.068,0.451,0.727,0.939,11,43,No
19276,Eres feliz junto a él,Los Acosta,2001,177.911,102.484,0.373,0.746,0.767,2,44,No
19296,Un Rayo De Sol,Los Acosta,2001,224.427,101.602,0.153,0.731,0.914,8,43,No
24031,"Vuelve, Vuelve",Los Acosta,2001,179.44,96.127,0.766,0.65,0.807,1,43,No
